,time,h_values,x_halley,vx_halley,y_halley,vy_halley,z_halley,vz_halley,x_jupiter,vx_jupiter,y_jupiter,vy_jupiter,z_jupiter,vz_jupiter,x_saturne,vx_saturne,y_saturne,vy_saturne,z_saturne,vz_saturne,x_terre,vx_terre,y_terre,vy_terre,z_terre,vz_terre
41,992823.8539349671,23329.88689240327,198422300389.96225,-10425.650344903937,813829707023.65,-13152.877359361011,-174508711144.36914,5630.276520256964,-170100992779.2882,14437.236055424952,-766032538102.1437,-3229.992807113922,30160911382.727936,1047.9345360172808,1150753077565.8354,5985.458465844955,-888477933027.7107,7745.737772237403,139677604257.8618,-5.907313978315463,91285213208.66081,-22419.714000792515,115776865294.30852,16916.371793899158,2893201688.9928966,-3772.7972015696914
42,1016149.5691386823,23325.7152037153,198179103201.93008,-10426.63101724832,813522859820.9165,-13156.901988507487,-174377370856.68347,5631.139258961901,-169764221248.75333,14438.322391269703,-766107822878.9409,-3225.0955157084927,30185352955.930164,1047.7416468740137,1150892679329.4348,5984.314988974409,-888297247859.0435,7746.620489014052,139677464846.8974,-6.0460999140896785,90761231435.52211,-22507.598213054942,116170146635.38126,16804.397701373324,2805166248.7937684,-3775.548127248687
43,1039469.6690827814,23320.099944099118,197935941691.75293,-10427.611539760668,813215992598.8239,-13160.929424832239,-174246042064.4985,5632.002274951039,-169427505484.85666,14439.406307092348,-766182975335.3846,-3220.1989509975165,30209784145.78853,1047.5486491106071,1151032220821.9414,5983.171648922125,-888116585606.712,7747.502813665524,139677322233.38333,-6.184852276013185,90235332153.59006,-22594.98301946179,116560717526.8848,16692.035641978488,2717088838.3143535,-3778.2142598897212
44,1062786.705797009,23317.03671422758,197692789259.8698,-10428.592018897269,812909071739.7343,-13164.960112698654,-174114710395.79916,5632.865662771613,-169090808703.63684,14440.487922433527,-766258003748.9811,-3215.3025787741476,30234207624.8219,1047.3555217495477,1151171717325.7024,5982.028320675094,-887935926515.6602,7748.384842825358,139677176403.5229,-6.323586244770343,89707470120.84702,-22681.876598353763,116948612514.4303,16579.274995997337,2628961816.588839,-3780.7958420101636
45,1086098.155373706,23311.449576697058,197449672236.58636,-10429.572347678848,812602130429.8002,-13168.993619446877,-173983390066.21558,5633.729329071758,-168754167414.53616,14441.567121135826,-766332900051.4642,-3210.4069306820347,30258620748.252117,1047.162285838406,1151311153752.7966,5980.885128098519,-887755290156.614,7749.2664810962415,139677027374.90518,-6.462286799726179,89177714805.69421,-22768.268158439896,117333781454.7749,16466.1296459895,2540796720.3170104,-3783.2925448232813
46,1109404.5265872083,23306.37121350223,197206585329.5747,-10430.552546638613,812295161946.2461,-13173.03003625745,-173852078212.17007,5634.593292741742,-168417574337.88785,14442.643927953814,-766407665945.3221,-3205.5119015752603,30283024048.38088,1046.9689373227368,1151450533161.5022,5979.742046367856,-887574672605.46,7750.14774781953,139676875146.50064,-6.600956964414375,88646067263.91115,-22854.158261736586,117716224984.34412,16352.598854134278,2452593630.4032564,-3785.7043844525087
47,1132706.6495976676,23302.123010459374,196963519891.98346,-10431.532649833052,811988155323.1296,-13177.069510385822,-173720770157.1741,5635.457584637696,-168081017549.76224,14443.718382259123,-766482304151.7433,-3200.617318757393,30307418393.54069,1046.7754694651762,1151589860529.2085,5978.599034880926,-887394067445.212,7751.02867446953,139676719714.8311,-6.739601674562301,88112521027.10449,-22939.548602402952,118095948773.72366,16238.680273917817,2364351405.0026712,-3788.031401235735
48,1156002.1675613003,23295.51796363278,196720500522.18396,-10432.512557263617,811681141589.3085,-13181.111636380456,-173589479184.85226,5636.322117376819,-167744531158.21094,14444.790376607878,-766556807190.9116,-3195.723678984552,30331801315.966038,1046.581901998401,1151729121779.3347,5977.456209372482,-887213492961.3175,7751.909172048502,139676561097.87854,-6.878206903639681,87577142747.51663,-23024.42922613477,118472906771.40442,16124.387166046388,2276080974.1041656,-3790.273322603039
49,1179294.368075457,23292.20051415652,196477492936.5698,-10433.492406354944,811374077388.887,-13185.156988034694,-173458186768.21414,5637.187013029934,-167408067742.51187,14445.860063387674,-766631185639.6283,-3190.8302933138766,30356176255.99885,1046.3882077605745,1151868336579.0242,5976.313408679376,-887032923687.3523,7752.789364908301,139676399275.32544,-7.016792208801359,87039869462.58826,-23108.81076476984,118847144416.8591,16009.705116414658,2187771881.9651103,-3792.4304227408657
50,1202581.4713485858,23287.103273128756,196234515714.19632,-10434.472121375298,811066986147.5608,-13189.205259956872,-173326902939.10098,5638.052205618976,-167071653076.02246,14446.927361755776,-766705433865.993,-3185.9375372873405,30380541349.964985,1046.1944016926836,1152007494301.8801,5975.170720230216,-886852373436.1682,7753.669185865663,139676234261.29044,-7.1553469969139725,86500754652.01366,-23192.68537603832,119218625141.5292,15894.644565697865,2099432872.6936,-3794.502486474566
51,1225862.153166474,23280.681817888173,195991582686.95688,-10435.451645735038,810759885309.2549,-13193.256224907143,-173195635166.5525,5638.917645957405,-166735306357.46585,14447.99221234617,-766779547722.1814,-3181.045690847778,30404895212.109116,1046.0004949867998,1152146587051.274,5974.028209136659,-886671852494.0775,7754.548584999266,139676066067.55533,-7.29386338551834,85959841813.78348,-23276.046993290118,119587320429.23346,15779.213816558673,2011070975.5027323,-3796.489362603873
52,1249137.1021086667,23274.948942192532,195748686685.5676,-10436.431007521975,810452765775.8713,-13197.310005514093,-173064379572.47653,5639.783359634707,-166399017708.16272,14449.054648069232,-766853529479.2504,-3176.1546110413847,30429238562.70175,1045.8064820853144,1152285618958.8164,5972.885841744913,-886491355541.9644,7755.427588436135,139675894691.67535,-7.4323454679854,85417127891.5046,-23358.896805107157,119953233950.36224,15663.411232273591,1922685583.9444275,-3798.3910800727253
53,1272406.6291138015,23269.527005134834,195505824479.6576,-10437.410218938781,810145623423.5059,-13201.36665899535,-172933134406.54126,5640.649358239347,-166062782703.38626,14450.114684395943,-766927380197.2117,-3171.2642342300096,30453571726.61897,1045.6123605640164,1152424591897.7976,5971.743602923328,-886310880187.3805,7756.306208024453,139675720133.68277,-7.570795090772501,84872618473.68335,-23441.234609678624,120316363232.95695,15547.237018636652,1834277520.6452305,-3800.207629097839
54,1295670.5697489881,23263.940635186536,195262997799.7691,-10438.389272183424,809838460400.6677,-13205.426159786904,-172801900599.15768,5641.515635679113,-165726603786.69785,14451.172315094007,-767001099424.8177,-3166.3745966688557,30477894531.53905,1045.4181319608567,1152563504901.8337,5970.601500871771,-886130427724.3206,7757.184437659066,139675542397.1019,-7.709211271960143,84326330250.65009,-23523.058511787593,120676698372.1541,15430.693747071664,1745849412.7250736,-3801.938960937144
